127.0.0.1 - - [10/Jun/2024:10:30:56 +0900] "GET / HTTP/1.1" 404 808
192.168.4.59 - - [10/Jun/2024:10:31:10 +0900] "GET /rentalbook/index.jsp HTTP/1.1" 200 1227
192.168.4.59 - - [10/Jun/2024:10:31:10 +0900] "GET /rentalbook/common/style.css HTTP/1.1" 200 1020
192.168.4.59 - - [10/Jun/2024:10:31:13 +0900] "GET /favicon.ico HTTP/1.1" 404 819
192.168.4.59 - - [10/Jun/2024:10:31:16 +0900] "GET /rentalbook/member/login.jsp HTTP/1.1" 200 2104
192.168.4.59 - - [10/Jun/2024:10:31:22 +0900] "GET /rentalbook/member/login-handle.jsp?u_id=hj00164&u_pwd=1234 HTTP/1.1" 302 -
192.168.4.59 - - [10/Jun/2024:10:31:22 +0900] "GET /rentalbook/index.jsp HTTP/1.1" 200 1259
192.168.4.59 - - [10/Jun/2024:10:31:25 +0900] "GET /rentalbook/mylib/modify.jsp HTTP/1.1" 200 2953
192.168.4.59 - - [10/Jun/2024:10:31:42 +0900] "GET /rentalbook/mylib/modify-handle.jsp/?nickname=hyo&password=2222&password_check=2222 HTTP/1.1" 404 855
192.168.4.59 - - [10/Jun/2024:10:32:17 +0900] "GET /rentalbook/mylib/modify-handle.jsp/?nickname=hyo&password=2222&password_check=2222 HTTP/1.1" 404 855
192.168.4.59 - - [10/Jun/2024:10:33:10 +0900] "GET /rentalbook/mylib/modify-handle.jsp/?nickname=hyo&password=2222&password_check=2222 HTTP/1.1" 404 855
192.168.4.59 - - [10/Jun/2024:10:33:12 +0900] "GET /rentalbook/mylib/modify-handle.jsp/?nickname=hyo&password=2222&password_check=2222 HTTP/1.1" 404 855
192.168.4.59 - - [10/Jun/2024:10:38:02 +0900] "GET /rentalbook/mylib/modify-handle.jsp/?nickname=hyo&password=2222&password_check=2222 HTTP/1.1" 404 855
192.168.4.59 - - [10/Jun/2024:10:38:04 +0900] "GET /rentalbook/mylib/modify-handle.jsp/?nickname=hyo&password=2222&password_check=2222 HTTP/1.1" 404 855
192.168.4.59 - - [10/Jun/2024:10:40:37 +0900] "GET /rentalbook/mylib/modify-handle.jsp/?nickname=hyo&password=2222&password_check=2222 HTTP/1.1" 404 855
192.168.4.59 - - [10/Jun/2024:10:40:39 +0900] "GET /rentalbook/mylib/modify-handle.jsp/?nickname=hyo&password=2222&password_check=2222 HTTP/1.1" 404 855
192.168.4.59 - - [10/Jun/2024:10:40:42 +0900] "GET /rentalbook/mylib/modify-handle.jsp/?nickname=hyo&password=2222&password_check=2222 HTTP/1.1" 404 855
192.168.4.59 - - [10/Jun/2024:10:40:46 +0900] "GET /rentalbook/mylib/modify.jsp HTTP/1.1" 200 2953
